,Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,--,--
Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,--,--
Purchase Of Stock-In Trade ,0.00,0.00,0.00,0.00,0.00,--,--
Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,--,--
"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,0.00,0.00,0.00,0.00,--,--
Employee Benefit Expenses,"1,060.79",914.11,592.92,716.53,"1,372.09",--,--
Finance Costs,"26,739.21","28,614.76","31,001.36","27,837.67","23,497.98",--,--
Depreciation And Amortisation Expenses,172.29,158.78,147.74,66.53,49.24,--,--
Other Expenses,839.60,725.12,757.30,703.51,483.54,--,--
Total Tax Expenses,"3,504.13","2,787.79","2,581.27","3,486.31","2,230.30",--,--
Exceptional Items,0.00,0.00,0.00,0.00,0.00,--,--
