"Profit & Loss account of Ador Fontech (in Rs. Cr.)","Mar 22","Mar 21","Mar 20","Mar 19","Mar 18"," ",
" ","12 mths","12 mths","12 mths","12 mths","12 mths"," ",
"INCOME","","","","",""," ",
"Revenue From Operations [Gross]","204.74","146.67","174.92","184.43","150.84"," ",
"Less: Excise/Sevice Tax/Other Levies","0.00","0.00","0.00","0.00","0.00"," ",
"Revenue From Operations [Net]","204.74","146.67","174.92","184.43","150.84"," ",
"Total Operating Revenues","204.74","146.67","174.92","184.43","150.84"," ",
"Other Income","5.66","2.39","2.74","2.80","3.90"," ",
"Total Revenue","210.40","149.06","177.66","187.23","154.74"," ",
"EXPENSES","","","","",""," ",
"Cost Of Materials Consumed","42.78","39.35","37.03","44.82","32.74"," ",
"Purchase Of Stock-In Trade ","62.43","34.58","65.53","60.09","49.84"," ",
"Operating And Direct Expenses","0.00","0.00","0.00","0.00","0.00"," ",
"Changes In Inventories Of FG,WIP And Stock-In Trade","3.38","2.57","-6.31","-1.66","3.64"," ",
"Employee Benefit Expenses","27.62","23.86","27.80","25.27","23.81"," ",
"Finance Costs","0.00","0.00","0.00","0.00","0.00"," ",
"Depreciation And Amortisation Expenses","2.71","2.47","2.64","2.76","3.02"," ",
"Other Expenses","36.43","26.14","33.92","35.88","27.43"," ",
"Total Expenses","175.35","128.97","160.61","167.16","140.48"," ",
"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax","35.05","20.09","17.05","20.07","14.26"," ",
"Exceptional Items","0.00","0.00","0.00","0.00","-0.84"," ",
"Profit/Loss Before Tax","35.05","20.09","17.05","20.07","13.42"," ",
"Tax Expenses-Continued Operations","","","","",""," ",
"Current Tax","10.25","5.90","5.39","5.75","4.00"," ",
"Less: MAT Credit Entitlement","0.00","0.00","0.00","0.00","0.00"," ",
"Deferred Tax","-0.64","1.62","0.33","0.50","0.44"," ",
"Tax For Earlier Years","0.00","-0.14","0.00","0.00","0.00"," ",
"Total Tax Expenses","9.61","7.38","5.72","6.25","4.44"," ",
"Profit/Loss After Tax And Before ExtraOrdinary Items","25.44","12.71","11.33","13.82","8.98"," ",
"Profit/Loss From Continuing Operations","25.44","12.71","11.33","13.82","8.98"," ",
"Profit/Loss For The Period","25.44","12.71","11.33","13.82","8.98"," ",
"OTHER ADDITIONAL INFORMATION","","","","",""," ",
"EARNINGS PER SHARE","","","","",""," ",
"Basic EPS (Rs.)","7.30","3.60","4.30","7.90","5.40"," ",
"Diluted EPS (Rs.)","7.30","3.60","4.30","7.90","5.40"," ",
"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS","","","","",""," ",
"Imported Raw Materials","0.00","0.00","0.00","0.00","0.00"," ",
"Indigenous Raw Materials","0.00","0.00","0.00","0.00","0.00"," ",
"STORES, SPARES AND LOOSE TOOLS","","","","",""," ",
"Imported Stores And Spares","0.00","0.00","0.00","0.00","0.00"," ",
"Indigenous Stores And Spares","0.00","0.00","0.00","0.00","0.00"," ",
"DIVIDEND AND DIVIDEND PERCENTAGE","","","","",""," ",
"Equity Share Dividend","7.70","0.00","14.98","6.30","0.00"," ",
"Tax On Dividend","0.00","0.00","0.00","0.00","0.00"," ",
"Equity Dividend Rate (%)","200.00","110.00","90.00","175.00","150.00"," ",
