"Quarterly Results of Apollo Tyres (in Rs. Cr.)","Dec '22","Sep '22","Jun '22","Mar '22","Dec '21"," ",
"Net Sales/Income from operations","4,246.62","4,251.94","4,436.23","3,988.05","3,791.70"," ",
"Other Operating Income","--","--","--","--","--"," ",
"Total Income From Operations","4,246.62","4,251.94","4,436.23","3,988.05","3,791.70"," ",
"EXPENDITURE","","","","",""," ",
"Consumption of Raw Materials","2,555.76","2,698.92","2,988.27","2,690.99","2,262.00"," ",
"Purchase of Traded Goods","253.44","223.59","246.00","222.35","201.11"," ",
"Increase/Decrease in Stocks","48.90","67.58","-113.17","-146.18","182.09"," ",
"Power & Fuel","--","--","--","--","--"," ",
"Employees Cost","249.77","247.96","260.37","246.21","255.47"," ",
"depreciat","226.87","222.52","215.52","233.77","202.67"," ",
"Excise Duty","--","--","--","--","--"," ",
"Admin. And Selling Expenses","--","--","--","--","--"," ",
"R & D Expenses","--","--","--","--","--"," ",
"Provisions And Contingencies","--","--","--","--","--"," ",
"Exp. Capitalised","--","--","--","--","--"," ",
"Other Expenses","590.42","576.50","625.95","598.63","546.01"," ",
"P/L Before Other Inc. , Int., Excpt. Items & Tax","321.46","214.87","213.29","142.28","142.34"," ",
"Other Income","9.90","19.19","28.85","38.30","19.02"," ",
"P/L Before Int., Excpt. Items & Tax","331.36","234.06","242.15","180.58","161.37"," ",
"Interest","122.57","120.58","105.79","108.10","95.10"," ",
"P/L Before Exceptional Items & Tax","208.79","113.49","136.35","72.48","66.27"," ",
"Exceptional Items","--","--","--","--","--"," ",
"P/L Before Tax","208.79","113.49","136.35","72.48","66.27"," ",
"Tax","71.23","32.69","32.01","18.18","17.08"," ",
"P/L After Tax from Ordinary Activities","137.56","80.80","104.34","54.30","49.19"," ",
"Prior Year Adjustments","--","--","--","--","--"," ",
"Extra Ordinary Items","--","--","--","--","--"," ",
"Net Profit/(Loss) For the Period","137.56","80.80","104.34","54.30","49.19"," ",
"Equity Share Capital","63.51","63.51","63.51","63.51","63.51"," ",
"Reserves Excluding Revaluation Reserves","--","--","--","--","--"," ",
"Equity Dividend Rate (%)","--","--","--","--","--"," ",
"EPS Before Extra Ordinary","","","","",""," ",
"Basic EPS","2.17","1.27","1.64","0.85","0.77"," ",
"Diluted EPS","2.17","1.27","1.64","0.85","0.77"," ",
"EPS After Extra Ordinary","","","","",""," ",
"Basic EPS.","2.17","1.27","1.64","0.85","0.77"," ",
"Diluted EPS.","2.17","1.27","1.64","0.85","0.77"," ",
"Public Share Holding","","","","",""," ",
"No Of Shares (Crores)","--","--","--","--","--"," ",
"Share Holding (%)","--","--","--","--","--"," ",
"Promoters and Promoter Group Shareholding","","","","",""," ",
"a) Pledged/Encumbered","","","","",""," ",
"- Number of shares (Crores)","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total sh. of prom. and promoter group)","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total Share Cap. of the company)","--","--","--","--","--"," ",
"b) Non-encumbered","","","","",""," ",
"- Number of shares (Crores).","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total sh. of prom. and promoter group).","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total Share Cap. of the company).","--","--","--","--","--"," ",
