"Key Financial Ratios of Zydus Wellness (in Rs. Cr.)","Mar 22","Mar 21","Mar 20","Mar 19","Mar 18"," ",
"Per Share Ratios","","","","",""," ",
"Basic EPS (Rs.)","2.00","-29.99","-7.06","22.83","34.24"," ",
"Diluted EPS (Rs.)","2.00","-29.99","-7.06","22.83","34.24"," ",
"Cash EPS (Rs.)","2.44","-28.08","-6.55","17.15","35.14"," ",
"Book Value [ExclRevalReserve]/Share (Rs.)","628.66","631.67","557.53","576.70","176.91"," ",
"Book Value [InclRevalReserve]/Share (Rs.)","628.66","631.67","557.53","576.70","176.91"," ",
"Dividend / Share(Rs.)","5.00","5.00","5.00","5.00","8.00"," ",
"Revenue from Operations/Share (Rs.)","33.99","17.89","26.61","44.16","67.61"," ",
"PBDIT/Share (Rs.)","1.58","2.68","15.37","23.04","35.63"," ",
"PBIT/Share (Rs.)","1.14","2.14","14.86","22.58","34.74"," ",
"PBT/Share (Rs.)","0.82","-29.57","-9.53","16.85","34.33"," ",
"Net Profit/Share (Rs.)","2.00","-28.62","-7.06","16.70","34.25"," ",
"Profitability Ratios","","","","",""," ",
"PBDIT Margin (%)","4.66","15.00","57.75","52.16","52.70"," ",
"PBIT Margin (%)","3.34","11.93","55.83","51.14","51.37"," ",
"PBT Margin (%)","2.41","-165.27","-35.80","38.16","50.77"," ",
"Net Profit Margin (%)","5.87","-160.01","-26.54","37.82","50.65"," ",
"Return on Networth / Equity (%)","0.31","-4.53","-1.26","2.89","19.35"," ",
"Return on Capital Employed (%)","0.18","0.33","1.81","2.69","19.32"," ",
"Return on Assets (%)","0.31","-4.42","-0.84","1.94","18.10"," ",
"Total Debt/Equity (X)","0.01","0.01","0.47","0.47","0.04"," ",
"Asset Turnover Ratio (%)","0.05","0.03","3.19","5.13","35.73"," ",
"Liquidity Ratios","","","","",""," ",
"Current Ratio (X)","1.39","1.41","1.03","0.77","14.80"," ",
"Quick Ratio (X)","1.29","1.25","0.89","0.73","14.66"," ",
"Inventory Turnover Ratio (X)","12.04","6.06","12.43","44.83","42.20"," ",
"Dividend Payout Ratio (NP) (%)","250.55","0.00","-141.59","32.46","0.00"," ",
"Dividend Payout Ratio (CP) (%)","204.76","0.00","-152.64","31.60","0.00"," ",
"Earnings Retention Ratio (%)","-150.55","0.00","241.59","67.54","0.00"," ",
"Cash Earnings Retention Ratio (%)","-104.76","0.00","252.64","68.40","0.00"," ",
"Valuation Ratios","","","","",""," ",
"Enterprise Value (Cr.)","9,537.92","12,518.68","8,965.00","9,010.38","4,216.10"," ",
"EV/Net Operating Revenue (X)","44.11","109.98","58.43","35.39","15.96"," ",
"EV/EBITDA (X)","946.22","732.94","101.16","67.83","30.28"," ",
"MarketCap/Net Operating Revenue (X)","44.16","110.28","48.74","29.41","17.35"," ",
"Retention Ratios (%)","-150.55","0.00","241.59","67.53","0.00"," ",
"Price/BV (X)","2.39","3.12","2.33","2.25","6.63"," ",
"Price/Net Operating Revenue","44.16","110.28","48.74","29.41","17.35"," ",
"Earnings Yield","0.00","-0.01","-0.01","0.01","0.03"," ",
